time,susceptible,exposed,infected,recovered,asymptomatic,new_exposed,new_infected,new_recovered,new_asymptomatic,deaths
144,0.8567506000000001,0.01975987133333333,0.007426996666666665,0.10427130866666667,0.011244535666666668,0.002456392,0.0009355930000000002,0.0021699390000000005,0.001403390666666667,0.0005466210000000001
145,0.8542831,0.01987292533333333,0.007487774333333334,0.10646182966666667,0.011336669333333332,0.0024682073333333328,0.0009420633333333334,0.0021905409999999994,0.0014130943333333337,0.0005577613333333333
146,0.8518042333333332,0.019982506333333337,0.007546740666666666,0.108671492,0.011426039666666665,0.0024792819999999998,0.000947879,0.0022095569999999996,0.0014218186666666668,0.000568992
147,0.8493152666666667,0.020087338999999996,0.007604002666666665,0.11090026366666664,0.01151283,0.0024896166666666664,0.000953912,0.0022288396666666666,0.0014308676666666665,0.0005803123333333333
148,0.8468164666666668,0.020187045333333327,0.007659606333333335,0.113148032,0.011597113333333329,0.0024992733333333334,0.0009598326666666668,0.0022477136666666665,0.0014397470000000003,0.0005917193333333335
149,0.8443088666666668,0.020284678,0.0077121376666666654,0.11541444033333333,0.011676749333333335,0.002508285333333333,0.0009642553333333334,0.002266395666666667,0.0014463843333333332,0.0006032079999999999
150,0.8417933333333332,0.02037641933333333,0.007763073333333333,0.11769844699999998,0.01175396566666667,0.0025161156666666665,0.000969754,0.002284069333333333,0.0014546299999999997,0.000614778
151,0.8392722999999999,0.020460373999999996,0.007812439000000002,0.11999961233333334,0.01182878933333333,0.0025215306666666664,0.000975031,0.0023011693333333336,0.0014625470000000002,0.000626421
152,0.8367476333333334,0.020537541,0.007859381000000002,0.12231737833333334,0.011899936333333331,0.002525385333333333,0.0009792813333333332,0.0023177826666666668,0.001468922,0.0006381403333333332
153,0.8342170999999999,0.020608494666666664,0.007905071666666668,0.12465008266666668,0.011969216666666664,0.002531043666666666,0.0009840363333333334,0.0023327263333333334,0.0014760553333333336,0.0006499286666666668
154,0.8316816,0.020673731000000004,0.007949033666666667,0.12699810233333336,0.01203585466666667,0.002536260333333333,0.0009884116666666668,0.0023479640000000006,0.0014826163333333331,0.0006617873333333334
155,0.8291412333333332,0.020733659999999994,0.007991021666666669,0.12936085033333333,0.012099518333333333,0.002540875,0.0009923786666666669,0.0023627519999999996,0.0014885696666666662,0.0006737110000000001
156,0.8266005666666667,0.020787697666666667,0.008029729333333332,0.13173815466666666,0.012158211333333332,0.002541359666666667,0.000994929,0.0023773130000000003,0.0014923919999999997,0.0006856983333333333
157,0.8240615000000001,0.02083154666666667,0.008066398999999998,0.134129,0.012213834666666668,0.0025396506666666664,0.0009983176666666668,0.002390841666666666,0.0014974753333333334,0.0006977430000000002
158,0.8215203666666665,0.02086965833333333,0.008101176333333335,0.13653235833333335,0.012266584333333332,0.0025417106666666667,0.001001439,0.002403332666666667,0.0015021593333333335,0.0007098430000000001
159,0.8189820999999997,0.020898163333333337,0.008133724,0.13894805833333332,0.012315978666666665,0.00253893,0.0010041740000000003,0.0024157316666666667,0.0015062596666666668,0.0007219940000000001
160,0.8164429666666668,0.020921719666666668,0.008163790666666667,0.14137568633333333,0.012361580000000002,0.0025396603333333336,0.0010064436666666666,0.002427604666666667,0.0015096646666666665,0.0007341933333333332
161,0.8139057333333334,0.02093873166666667,0.008191782,0.14381314266666667,0.012404083999999998,0.002537882,0.0010083510000000002,0.002437493,0.0015125273333333334,0.0007464406666666663
